"person","property","value"
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/ontology/abstract","Албан Преобер (фр. Alban Préaubert; в российских СМИ встречается написание Пробер; род. 20 сентября 1985 года в Гренобле) — французский фигурист выступающий в одиночном разряде. Четырёхкратный бронзовый призёр чемпионатов Франции, регулярный участник турниров серии Гран-при по фигурному катанию и чемпионата мира среди юниоров. По состоянию на июнь 2011 года занимает 14-е место в рейтинге Международного союза конькобежцев (ИСУ)."
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/ontology/activeYearsEndYear","2011"
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/ontology/height",1.82
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/property/birthDate",1985-09-20
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/property/caption","Préaubert at the 2008 Trophée Eric Bompard."
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/property/country","France"
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/property/id",5919
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/property/skatingClub","CMSG Charleville Mezieres"
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/property/beganskating",1991
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/property/combinedDate",2008
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/property/combinedTotal",222.44
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/property/currenttraininglocations","Courchevel"
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/property/fsDate",2008
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/property/fsScore",149.2
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/property/spDate",2010
"http://dbpedia.org/resource/Alban_Préaubert","http://dbpedia.org/property/spScore",76.37
